education,branch,skills,interests,career_goal,experience,recommended_career
Undergraduate,Computer Science,"CSS,SQL,Algorithms,Java","Business,AI/ML,Technology",Data Scientist,"1 projects, 0 internships",Software Engineer
Undergraduate,Commerce/B.Com,"Data Analytics,Time Management,SQL,Economics,Scrum",Government Jobs,Investment Banker,"1 projects, 0 internships",Chartered Accountant
Undergraduate,Electronics & Communication,"C++,Data Structures,Physics Lab,Figma,AWS,Docker","Research,Engineering,Technology",VLSI Design Engineer,"1 projects, 0 internships",Embedded Systems Engineer
Undergraduate,Science/B.Sc,"Data Analytics,SQL,Pandas,Python,Mathematics",Technology,Financial Risk Analyst,"2 projects, 1 internships",Data Analyst
Undergraduate,Commerce/B.Com,"Taxation,Scrum,Communication,Time Management,Financial Accounting","Government Jobs,Finance,Business",Financial Consultant,"0 projects, 0 internships",Chartered Accountant
Undergraduate,Business/BBA,"Business Strategy,Communication,Public Speaking,Marketing,Product Management,SEO","Business,Management",Brand Strategist,"0 projects, 0 internships",Product Manager
Class 12,PCM Stream,"Communication,Mathematics,Writing,Chemistry Lab,Problem Solving,Python",Engineering,High School Physics Teacher,"2 projects, 1 internships",Civil Servant (IAS/IPS)
Undergraduate,Business/BBA,"Sales,Communication,SEO",Management,Marketing Manager,"0 projects, 0 internships",Product Manager
Class 12,PCM Stream,"Chemistry Lab,Mathematics,Physics Lab","Research,Engineering",High School Physics Teacher,"0 projects, 1 internships",Civil Servant (IAS/IPS)
Undergraduate,Commerce/B.Com,"Scrum,Problem Solving,Taxation,Data Analytics,Time Management","Business,Government Jobs,Finance",Investment Banker,"1 projects, 1 internships",Chartered Accountant
Undergraduate,Electronics & Communication,"Physics Lab,Mathematics,Figma,C++,Linear Algebra,Data Structures","Technology,Engineering,Research",VLSI Design Engineer,"1 projects, 0 internships",Embedded Systems Engineer
Undergraduate,Electronics & Communication,"Data Structures,AWS,Kubernetes,Figma,Python","Engineering,Technology",Network Security Engineer,"1 projects, 1 internships",Embedded Systems Engineer
Undergraduate,Computer Science,"REST APIs,CSS,Python,React,HTML","Business,AI/ML,Technology",DevOps Engineer,"2 projects, 0 internships",Software Engineer
Undergraduate,Commerce/B.Com,"Financial Accounting,Communication,Data Analytics,Problem Solving","Government Jobs,Finance,Business",Unknown Career,"2 projects, 1 internships",Chartered Accountant
Undergraduate,Commerce/B.Com,"Taxation,Economics,Communication","Government Jobs,Finance",Financial Consultant,"1 projects, 0 internships",Chartered Accountant
Undergraduate,Law/LLB,"Communication,Technical Writing,Constitutional Law","Government Jobs,Social Impact",Patent Attorney,"1 projects, 1 internships",Corporate Lawyer
Undergraduate,Computer Science,"HTML,Git,JavaScript,React","Business,AI/ML",AI/ML Engineer,"2 projects, 1 internships",Software Engineer
Undergraduate,Business/BBA,"Business Strategy,Communication,Sales","Media,Business,Management",Brand Strategist,"1 projects, 1 internships",Product Manager
Undergraduate,Science/B.Sc,"Pandas,Communication,NumPy,Statistics,Mathematics",Finance,Financial Risk Analyst,"1 projects, 1 internships",Data Analyst
Undergraduate,Commerce/B.Com,"Data Analytics,Problem Solving,Taxation","Business,Government Jobs",Chartered Accountant,"2 projects, 0 internships",Chartered Accountant
Undergraduate,Electronics & Communication,"AWS,Figma,Physics Lab,Data Structures,Linear Algebra,Mathematics","Research,Engineering,Technology",Network Security Engineer,"2 projects, 0 internships",Embedded Systems Engineer
Undergraduate,Electronics & Communication,"AWS,Physics Lab,Docker,Python,Figma","Engineering,Technology",Network Security Engineer,"1 projects, 0 internships",Embedded Systems Engineer
Undergraduate,Commerce/B.Com,"Time Management,Data Analytics,Communication,Economics,Scrum,SQL","Business,Finance",Financial Consultant,"0 projects, 0 internships",Chartered Accountant
Undergraduate,Law/LLB,"Public Speaking,Constitutional Law,Negotiation,Communication,Leadership","Social Impact,Government Jobs",Corporate Lawyer,"2 projects, 0 internships",Corporate Lawyer
Undergraduate,Computer Science,"SQL,Python,Java,REST APIs,Git","AI/ML,Technology",AI/ML Engineer,"2 projects, 0 internships",Software Engineer
Undergraduate,Electronics & Communication,"Physics Lab,Docker,Data Structures","Research,Engineering,Technology",Embedded Systems Engineer,"0 projects, 0 internships",Embedded Systems Engineer
Undergraduate,Commerce/B.Com,"Economics,Data Analytics,Communication,Problem Solving,Taxation",Finance,Unknown Career,"2 projects, 1 internships",Chartered Accountant
Undergraduate,Commerce/B.Com,"Scrum,Data Analytics,Communication","Government Jobs,Business",Chartered Accountant,"0 projects, 0 internships",Chartered Accountant
Undergraduate,Electronics & Communication,"C++,AWS,Physics Lab","Technology,Research,Engineering",IoT Systems Architect,"1 projects, 1 internships",Embedded Systems Engineer
Undergraduate,Electronics & Communication,"Kubernetes,Mathematics,Linear Algebra,Docker,AWS,Python",Engineering,IoT Systems Architect,"1 projects, 1 internships",Embedded Systems Engineer
Undergraduate,Electronics & Communication,"Figma,Python,Data Structures,Mathematics,Docker","Technology,Research,Engineering",VLSI Design Engineer,"1 projects, 1 internships",Embedded Systems Engineer
Class 12,PCM Stream,"Physics Lab,Writing,Mathematics","Government Jobs,Defence",Research Scientist,"0 projects, 1 internships",Civil Servant (IAS/IPS)
Class 12,PCM Stream,"Problem Solving,Chemistry Lab,Mathematics,Python,Writing",Research,Research Scientist,"0 projects, 1 internships",Civil Servant (IAS/IPS)
Undergraduate,Business/BBA,"Project Management,SEO,Sales",Management,Brand Strategist,"0 projects, 0 internships",Product Manager
Undergraduate,Electronics & Communication,"Figma,Data Structures,Linear Algebra,Physics Lab","Engineering,Research,Technology",Network Security Engineer,"1 projects, 1 internships",Embedded Systems Engineer
Class 12,PCM Stream,"Communication,Chemistry Lab,Mathematics,Problem Solving,Writing,Python","Research,Government Jobs,Defence",Research Scientist,"0 projects, 1 internships",Civil Servant (IAS/IPS)
Undergraduate,Science/B.Sc,"Communication,NumPy,Mathematics",Research,Financial Risk Analyst,"2 projects, 0 internships",Data Analyst
Undergraduate,Business/BBA,"Leadership,Business Strategy,Project Management,SEO","Management,Media,Entrepreneurship",Management Consultant,"2 projects, 1 internships",Product Manager
Undergraduate,Electronics & Communication,"Kubernetes,Data Structures,AWS,C++,Linear Algebra",Engineering,IoT Systems Architect,"1 projects, 0 internships",Embedded Systems Engineer
Undergraduate,Business/BBA,"Project Management,Leadership,Sales,Public Speaking","Management,Business,Entrepreneurship",Product Manager,"2 projects, 1 internships",Product Manager
Undergraduate,Computer Science,"C++,Node.js,Python,JavaScript,Algorithms","AI/ML,Business,Technology",Data Scientist,"0 projects, 0 internships",Software Engineer
Undergraduate,Computer Science,"Node.js,Data Structures,Algorithms,React,HTML,JavaScript","Business,AI/ML",Cloud Architect,"2 projects, 1 internships",Software Engineer
Undergraduate,Electronics & Communication,"Linear Algebra,Mathematics,Python","Technology,Research,Engineering",VLSI Design Engineer,"2 projects, 1 internships",Embedded Systems Engineer
Undergraduate,Commerce/B.Com,"Data Analytics,Communication,Time Management,Problem Solving,Taxation","Finance,Business,Government Jobs",Chartered Accountant,"0 projects, 1 internships",Chartered Accountant
Undergraduate,Commerce/B.Com,"Data Analytics,Taxation,SQL,Financial Accounting,Communication","Business,Finance",Investment Banker,"2 projects, 1 internships",Chartered Accountant
Class 12,PCM Stream,"Mathematics,Chemistry Lab,Python",Engineering,High School Physics Teacher,"1 projects, 1 internships",Civil Servant (IAS/IPS)
Undergraduate,Commerce/B.Com,"Economics,SQL,Problem Solving",Business,Unknown Career,"2 projects, 1 internships",Chartered Accountant
Undergraduate,Computer Science,"Algorithms,JavaScript,Java,Git,REST APIs,C++","AI/ML,Technology,Business",Software Engineer,"0 projects, 0 internships",Software Engineer
Undergraduate,Commerce/B.Com,"Economics,Taxation,Data Analytics,Scrum,Time Management","Government Jobs,Finance,Business",Unknown Career,"0 projects, 0 internships",Chartered Accountant
Undergraduate,Commerce/B.Com,"Scrum,Communication,Taxation","Government Jobs,Finance,Business",Unknown Career,"1 projects, 0 internships",Chartered Accountant
Undergraduate,Electronics & Communication,"Data Structures,AWS,C++,Figma,Python,Physics Lab",Research,VLSI Design Engineer,"1 projects, 0 internships",Embedded Systems Engineer
Undergraduate,Business/BBA,"Sales,SEO,Product Management,Communication,Business Strategy","Business,Entrepreneurship",Marketing Manager,"1 projects, 1 internships",Product Manager
Undergraduate,Computer Science,"Java,HTML,Data Structures,Python","AI/ML,Business",Cloud Architect,"0 projects, 0 internships",Software Engineer
Undergraduate,Electronics & Communication,"Physics Lab,C++,Python,Linear Algebra,Docker","Engineering,Technology",VLSI Design Engineer,"0 projects, 0 internships",Embedded Systems Engineer
Class 12,PCM Stream,"Mathematics,Communication,Chemistry Lab","Government Jobs,Engineering,Defence",Research Scientist,"0 projects, 1 internships",Civil Servant (IAS/IPS)
Class 12,PCM Stream,"Python,Chemistry Lab,Writing,Communication,Mathematics,Physics Lab","Defence,Government Jobs,Research",High School Physics Teacher,"2 projects, 1 internships",Civil Servant (IAS/IPS)
Undergraduate,Computer Science,"Algorithms,Data Structures,REST APIs","Technology,Business,AI/ML",Cloud Architect,"0 projects, 0 internships",Software Engineer
Class 12,PCM Stream,"Python,Mathematics,Chemistry Lab,Problem Solving,Writing,Physics Lab",Defence,High School Physics Teacher,"1 projects, 1 internships",Civil Servant (IAS/IPS)
Class 12,PCM Stream,"Chemistry Lab,Physics Lab,Writing,Communication","Government Jobs,Engineering",Research Scientist,"2 projects, 0 internships",Civil Servant (IAS/IPS)
Undergraduate,Computer Science,"Java,React,Algorithms,C++,Data Structures,Node.js","Business,AI/ML",AI/ML Engineer,"0 projects, 0 internships",Software Engineer
Undergraduate,Science/B.Sc,"Python,Data Visualization,Statistics",Finance,Data Analyst,"0 projects, 1 internships",Data Analyst
Class 12,PCM Stream,"Writing,Communication,Physics Lab,Problem Solving,Python","Engineering,Government Jobs",Research Scientist,"0 projects, 1 internships",Civil Servant (IAS/IPS)
Undergraduate,Science/B.Sc,"Mathematics,Data Analytics,Pandas,Python,Communication,NumPy","Technology,Finance",Financial Risk Analyst,"0 projects, 1 internships",Data Analyst
Undergraduate,Science/B.Sc,"SQL,Communication,Mathematics","Research,Business,Finance",Data Scientist,"0 projects, 0 internships",Data Analyst
Undergraduate,Business/BBA,"Marketing,Communication,Product Management,Sales","Management,Entrepreneurship,Business",Product Manager,"1 projects, 1 internships",Product Manager
Undergraduate,Science/B.Sc,"NumPy,Data Analytics,Pandas",Technology,Data Analyst,"2 projects, 1 internships",Data Analyst
Undergraduate,Computer Science,"C++,Java,Python,Node.js,SQL",AI/ML,Software Engineer,"2 projects, 1 internships",Software Engineer
Undergraduate,Commerce/B.Com,"Problem Solving,Scrum,Time Management","Government Jobs,Finance,Business",Investment Banker,"0 projects, 1 internships",Chartered Accountant
Undergraduate,Commerce/B.Com,"Time Management,Communication,Problem Solving","Business,Government Jobs",Chartered Accountant,"0 projects, 0 internships",Chartered Accountant
Class 12,PCM Stream,"Communication,Chemistry Lab,Writing,Problem Solving,Python,Mathematics","Government Jobs,Defence",Research Scientist,"0 projects, 1 internships",Civil Servant (IAS/IPS)
Undergraduate,Electronics & Communication,"Linear Algebra,Python,Data Structures","Engineering,Technology,Research",Network Security Engineer,"0 projects, 0 internships",Embedded Systems Engineer
Class 12,PCM Stream,"Chemistry Lab,Python,Problem Solving,Mathematics",Defence,Research Scientist,"2 projects, 1 internships",Civil Servant (IAS/IPS)
Undergraduate,Computer Science,"JavaScript,SQL,Algorithms,CSS,Git,HTML","Technology,Business",DevOps Engineer,"1 projects, 1 internships",Software Engineer
Undergraduate,Computer Science,"C++,JavaScript,Node.js,Data Structures,Java,Python",Technology,Data Scientist,"0 projects, 1 internships",Software Engineer
Undergraduate,Computer Science,"HTML,Java,SQL","Technology,Business,AI/ML",Cloud Architect,"2 projects, 1 internships",Software Engineer
Undergraduate,Computer Science,"Algorithms,React,HTML,SQL,JavaScript","Technology,AI/ML,Business",Data Scientist,"2 projects, 1 internships",Software Engineer
Class 12,PCM Stream,"Writing,Communication,Physics Lab","Research,Government Jobs,Engineering",Civil Servant (IAS/IPS),"1 projects, 0 internships",Civil Servant (IAS/IPS)
Undergraduate,Computer Science,"CSS,REST APIs,Git,SQL",Technology,Cloud Architect,"0 projects, 0 internships",Software Engineer
Undergraduate,Law/LLB,"Constitutional Law,Communication,Leadership",Social Impact,Criminal Defense Lawyer,"0 projects, 1 internships",Corporate Lawyer
Undergraduate,Science/B.Sc,"Data Analytics,SQL,Python","Research,Business,Finance",Data Scientist,"2 projects, 0 internships",Data Analyst
Undergraduate,Science/B.Sc,"Statistics,NumPy,Data Visualization,Pandas","Business,Technology,Finance",Data Scientist,"2 projects, 1 internships",Data Analyst
Undergraduate,Law/LLB,"Constitutional Law,Leadership,Communication,Legal Writing,Law","Government Jobs,Social Impact,Law",Public Prosecutor,"0 projects, 0 internships",Corporate Lawyer
Undergraduate,Science/B.Sc,"Communication,Data Visualization,NumPy,Python","Finance,Business",Financial Risk Analyst,"2 projects, 1 internships",Data Analyst
Undergraduate,Computer Science,"Python,HTML,SQL,Algorithms,Git","Business,Technology",Software Engineer,"1 projects, 0 internships",Software Engineer
Undergraduate,Commerce/B.Com,"SQL,Scrum,Time Management,Data Analytics,Taxation,Problem Solving","Finance,Government Jobs,Business",Financial Consultant,"0 projects, 0 internships",Chartered Accountant
Class 12,PCM Stream,"Chemistry Lab,Physics Lab,Problem Solving,Python","Government Jobs,Defence,Engineering",Defense Officer (Army/Navy/Air Force),"1 projects, 0 internships",Civil Servant (IAS/IPS)
Undergraduate,Commerce/B.Com,"SQL,Data Analytics,Financial Accounting","Finance,Business",Chartered Accountant,"0 projects, 1 internships",Chartered Accountant
Undergraduate,Business/BBA,"Leadership,Sales,Project Management,SEO,Public Speaking,Communication",Media,Management Consultant,"1 projects, 1 internships",Product Manager
Class 12,PCM Stream,"Mathematics,Physics Lab,Chemistry Lab,Writing,Problem Solving","Government Jobs,Engineering,Research",High School Physics Teacher,"1 projects, 1 internships",Civil Servant (IAS/IPS)
Undergraduate,Computer Science,"Data Structures,Node.js,React,SQL,Algorithms",AI/ML,DevOps Engineer,"1 projects, 1 internships",Software Engineer
Undergraduate,Law/LLB,"Technical Writing,Leadership,Legal Writing,Communication","Government Jobs,Social Impact,Law",Public Prosecutor,"1 projects, 1 internships",Corporate Lawyer
Undergraduate,Business/BBA,"Business Strategy,Communication,Marketing,Product Management,Project Management,Public Speaking",Management,Product Manager,"0 projects, 1 internships",Product Manager
Undergraduate,Commerce/B.Com,"Communication,SQL,Problem Solving,Economics,Time Management,Taxation",Finance,Investment Banker,"2 projects, 0 internships",Chartered Accountant
Undergraduate,Computer Science,"Algorithms,Git,REST APIs,Data Structures,SQL,Java","Technology,AI/ML,Business",Software Engineer,"0 projects, 0 internships",Software Engineer
Class 12,PCM Stream,"Physics Lab,Problem Solving,Chemistry Lab,Python,Communication,Mathematics","Research,Defence,Government Jobs",Civil Servant (IAS/IPS),"1 projects, 0 internships",Civil Servant (IAS/IPS)
Undergraduate,Law/LLB,"Communication,Public Speaking,Legal Writing,Law,Technical Writing,Constitutional Law","Social Impact,Law,Government Jobs",Public Prosecutor,"0 projects, 0 internships",Corporate Lawyer
Undergraduate,Computer Science,"HTML,SQL,REST APIs,JavaScript,Git","Business,AI/ML,Technology",Data Scientist,"2 projects, 0 internships",Software Engineer
Undergraduate,Electronics & Communication,"Linear Algebra,Python,Physics Lab",Engineering,Embedded Systems Engineer,"1 projects, 0 internships",Embedded Systems Engineer
Undergraduate,Business/BBA,"SEO,Business Strategy,Leadership,Product Management","Business,Media",Brand Strategist,"2 projects, 0 internships",Product Manager
Undergraduate,Commerce/B.Com,"Economics,Scrum,Taxation,SQL,Financial Accounting","Finance,Government Jobs,Business",Chartered Accountant,"2 projects, 1 internships",Chartered Accountant
Class 12,PCM Stream,"Mathematics,Python,Problem Solving,Chemistry Lab,Physics Lab","Engineering,Government Jobs",Research Scientist,"1 projects, 0 internships",Civil Servant (IAS/IPS)
Undergraduate,Science/B.Sc,"Data Analytics,Statistics,Communication",Finance,Data Scientist,"1 projects, 0 internships",Data Analyst
Undergraduate,Law/LLB,"Constitutional Law,Legal Writing,Law,Technical Writing,Public Speaking,Communication","Social Impact,Law,Government Jobs",Patent Attorney,"2 projects, 0 internships",Corporate Lawyer
Undergraduate,Commerce/B.Com,"Time Management,Problem Solving,Data Analytics,Scrum,Economics","Finance,Business",Unknown Career,"1 projects, 1 internships",Chartered Accountant
Undergraduate,Computer Science,"SQL,CSS,Algorithms,Java,Node.js,HTML",AI/ML,Data Scientist,"0 projects, 0 internships",Software Engineer
Undergraduate,Commerce/B.Com,"Problem Solving,Financial Accounting,Economics,Scrum,Data Analytics,Communication",Business,Chartered Accountant,"2 projects, 0 internships",Chartered Accountant
Undergraduate,Law/LLB,"Negotiation,Constitutional Law,Leadership,Public Speaking","Law,Social Impact",Patent Attorney,"0 projects, 0 internships",Corporate Lawyer
Undergraduate,Law/LLB,"Leadership,Communication,Legal Writing","Social Impact,Government Jobs,Law",Public Prosecutor,"1 projects, 1 internships",Corporate Lawyer
Undergraduate,Electronics & Communication,"Linear Algebra,Mathematics,AWS,Kubernetes",Engineering,Embedded Systems Engineer,"0 projects, 0 internships",Embedded Systems Engineer
Undergraduate,Law/LLB,"Constitutional Law,Legal Writing,Negotiation","Social Impact,Government Jobs,Law",Public Prosecutor,"1 projects, 0 internships",Corporate Lawyer
Undergraduate,Science/B.Sc,"SQL,NumPy,Data Visualization,Statistics,Pandas,Communication","Technology,Finance,Business",Actuarial Analyst,"0 projects, 1 internships",Data Analyst
Undergraduate,Business/BBA,"Product Management,Leadership,Project Management,Sales,Communication,Public Speaking","Media,Management,Entrepreneurship",Marketing Manager,"2 projects, 0 internships",Product Manager
Class 12,PCM Stream,"Writing,Python,Problem Solving,Physics Lab,Chemistry Lab,Mathematics","Defence,Government Jobs",Defense Officer (Army/Navy/Air Force),"0 projects, 0 internships",Civil Servant (IAS/IPS)
Undergraduate,Commerce/B.Com,"Data Analytics,Time Management,Taxation,SQL,Scrum",Government Jobs,Chartered Accountant,"2 projects, 0 internships",Chartered Accountant
Class 12,PCM Stream,"Mathematics,Communication,Problem Solving","Defence,Engineering,Research",High School Physics Teacher,"1 projects, 0 internships",Civil Servant (IAS/IPS)
Undergraduate,Computer Science,"Git,React,SQL,REST APIs","Technology,Business,AI/ML",Data Scientist,"2 projects, 0 internships",Software Engineer
Undergraduate,Commerce/B.Com,"SQL,Scrum,Economics,Problem Solving,Financial Accounting,Communication","Government Jobs,Business,Finance",Unknown Career,"1 projects, 0 internships",Chartered Accountant
Undergraduate,Law/LLB,"Technical Writing,Public Speaking,Communication",Government Jobs,Public Prosecutor,"2 projects, 0 internships",Corporate Lawyer
Undergraduate,Law/LLB,"Law,Legal Writing,Communication,Leadership","Social Impact,Law",Public Prosecutor,"2 projects, 1 internships",Corporate Lawyer
Class 12,PCM Stream,"Mathematics,Writing,Python,Communication,Physics Lab","Government Jobs,Engineering,Research",Research Scientist,"0 projects, 1 internships",Civil Servant (IAS/IPS)
Undergraduate,Law/LLB,"Public Speaking,Negotiation,Legal Writing,Technical Writing,Leadership,Communication",Government Jobs,Patent Attorney,"1 projects, 1 internships",Corporate Lawyer
Undergraduate,Science/B.Sc,"Pandas,Data Analytics,Python,Mathematics,Communication,SQL","Technology,Business",Actuarial Analyst,"0 projects, 0 internships",Data Analyst
Undergraduate,Commerce/B.Com,"Scrum,SQL,Taxation","Government Jobs,Business",Chartered Accountant,"2 projects, 0 internships",Chartered Accountant
Undergraduate,Law/LLB,"Legal Writing,Communication,Law,Technical Writing","Social Impact,Government Jobs",Public Prosecutor,"1 projects, 0 internships",Corporate Lawyer
Undergraduate,Computer Science,"Data Structures,Node.js,HTML,Java","Business,AI/ML",DevOps Engineer,"1 projects, 1 internships",Software Engineer
Undergraduate,Science/B.Sc,"Data Visualization,Pandas,Python,Statistics,Data Analytics","Research,Finance,Business",Actuarial Analyst,"0 projects, 1 internships",Data Analyst
Class 12,PCM Stream,"Problem Solving,Python,Writing,Mathematics,Communication",Research,Research Scientist,"1 projects, 1 internships",Civil Servant (IAS/IPS)
Undergraduate,Law/LLB,"Law,Constitutional Law,Technical Writing","Law,Government Jobs",Criminal Defense Lawyer,"0 projects, 0 internships",Corporate Lawyer
Undergraduate,Law/LLB,"Law,Constitutional Law,Negotiation,Public Speaking,Technical Writing,Leadership","Law,Government Jobs",Public Prosecutor,"1 projects, 0 internships",Corporate Lawyer
Undergraduate,Computer Science,"Git,Data Structures,SQL","Technology,Business,AI/ML",Data Scientist,"0 projects, 1 internships",Software Engineer
Undergraduate,Computer Science,"REST APIs,Data Structures,Algorithms","Business,AI/ML",Data Scientist,"2 projects, 0 internships",Software Engineer
Undergraduate,Computer Science,"C++,CSS,Python",Business,Data Scientist,"2 projects, 1 internships",Software Engineer
Undergraduate,Business/BBA,"Marketing,SEO,Project Management",Entrepreneurship,Marketing Manager,"1 projects, 1 internships",Product Manager
Undergraduate,Science/B.Sc,"Pandas,Communication,Statistics","Business,Research,Finance",Data Analyst,"1 projects, 0 internships",Data Analyst
Undergraduate,Computer Science,"Data Structures,SQL,React","Business,Technology",DevOps Engineer,"2 projects, 0 internships",Software Engineer
Undergraduate,Business/BBA,"Business Strategy,Marketing,SEO","Entrepreneurship,Management",Management Consultant,"2 projects, 0 internships",Product Manager
Undergraduate,Computer Science,"Git,Data Structures,REST APIs,HTML","Business,AI/ML,Technology",Cloud Architect,"1 projects, 1 internships",Software Engineer
Undergraduate,Law/LLB,"Technical Writing,Communication,Constitutional Law,Public Speaking,Legal Writing","Law,Government Jobs,Social Impact",Criminal Defense Lawyer,"0 projects, 0 internships",Corporate Lawyer
Undergraduate,Science/B.Sc,"Data Analytics,Mathematics,Pandas",Research,Actuarial Analyst,"2 projects, 0 internships",Data Analyst
Undergraduate,Business/BBA,"Product Management,Public Speaking,Marketing,SEO,Project Management,Business Strategy","Business,Entrepreneurship,Media",Management Consultant,"2 projects, 1 internships",Product Manager
Undergraduate,Electronics & Communication,"C++,Data Structures,Kubernetes,AWS,Figma,Linear Algebra","Engineering,Research,Technology",IoT Systems Architect,"1 projects, 0 internships",Embedded Systems Engineer
Undergraduate,Commerce/B.Com,"Financial Accounting,Scrum,Communication","Business,Finance",Investment Banker,"0 projects, 1 internships",Chartered Accountant
Undergraduate,Commerce/B.Com,"Financial Accounting,Time Management,Data Analytics",Business,Unknown Career,"1 projects, 1 internships",Chartered Accountant
Class 12,PCM Stream,"Chemistry Lab,Writing,Physics Lab,Python,Mathematics","Defence,Research",High School Physics Teacher,"2 projects, 0 internships",Civil Servant (IAS/IPS)
Undergraduate,Commerce/B.Com,"SQL,Scrum,Taxation,Time Management,Problem Solving","Business,Finance,Government Jobs",Chartered Accountant,"0 projects, 1 internships",Chartered Accountant
Undergraduate,Business/BBA,"Marketing,Communication,Public Speaking",Media,Brand Strategist,"2 projects, 1 internships",Product Manager
Undergraduate,Law/LLB,"Legal Writing,Communication,Constitutional Law,Negotiation",Government Jobs,Patent Attorney,"2 projects, 0 internships",Corporate Lawyer
Undergraduate,Science/B.Sc,"Statistics,Data Analytics,Communication","Technology,Research",Data Analyst,"2 projects, 0 internships",Data Analyst
Undergraduate,Commerce/B.Com,"Time Management,Financial Accounting,Problem Solving,Scrum,SQL,Taxation",Finance,Chartered Accountant,"1 projects, 1 internships",Chartered Accountant
Undergraduate,Electronics & Communication,"Physics Lab,Linear Algebra,Docker,AWS",Research,Embedded Systems Engineer,"1 projects, 1 internships",Embedded Systems Engineer
Undergraduate,Electronics & Communication,"Python,C++,AWS","Engineering,Research",IoT Systems Architect,"0 projects, 1 internships",Embedded Systems Engineer
Undergraduate,Law/LLB,"Legal Writing,Law,Public Speaking,Constitutional Law,Negotiation,Communication","Law,Social Impact",Corporate Lawyer,"2 projects, 0 internships",Corporate Lawyer
Undergraduate,Electronics & Communication,"Kubernetes,AWS,C++,Docker,Data Structures",Engineering,Network Security Engineer,"0 projects, 0 internships",Embedded Systems Engineer
Undergraduate,Science/B.Sc,"NumPy,SQL,Mathematics,Communication",Technology,Actuarial Analyst,"2 projects, 0 internships",Data Analyst
Class 12,PCM Stream,"Communication,Writing,Physics Lab,Python",Government Jobs,Research Scientist,"2 projects, 0 internships",Civil Servant (IAS/IPS)
Class 12,PCM Stream,"Chemistry Lab,Problem Solving,Writing,Communication,Physics Lab",Engineering,Defense Officer (Army/Navy/Air Force),"1 projects, 1 internships",Civil Servant (IAS/IPS)
Undergraduate,Science/B.Sc,"Communication,Data Analytics,Statistics,Data Visualization,Pandas,Mathematics","Business,Technology",Actuarial Analyst,"1 projects, 0 internships",Data Analyst
Class 12,PCM Stream,"Writing,Mathematics,Chemistry Lab,Physics Lab,Communication",Research,High School Physics Teacher,"0 projects, 1 internships",Civil Servant (IAS/IPS)
Undergraduate,Commerce/B.Com,"Problem Solving,SQL,Time Management,Scrum,Data Analytics",Business,Financial Consultant,"0 projects, 0 internships",Chartered Accountant
Undergraduate,Commerce/B.Com,"Financial Accounting,Scrum,Communication,Time Management",Business,Investment Banker,"2 projects, 0 internships",Chartered Accountant
Undergraduate,Commerce/B.Com,"Scrum,Financial Accounting,Data Analytics,Problem Solving","Government Jobs,Finance,Business",Investment Banker,"1 projects, 0 internships",Chartered Accountant
Undergraduate,Law/LLB,"Leadership,Technical Writing,Public Speaking,Negotiation,Communication,Law","Government Jobs,Social Impact",Criminal Defense Lawyer,"0 projects, 0 internships",Corporate Lawyer
Undergraduate,Science/B.Sc,"Python,SQL,Statistics,Data Visualization,NumPy,Pandas","Finance,Technology",Actuarial Analyst,"0 projects, 0 internships",Data Analyst
Undergraduate,Commerce/B.Com,"Time Management,SQL,Taxation,Problem Solving,Economics","Finance,Business,Government Jobs",Chartered Accountant,"0 projects, 0 internships",Chartered Accountant
Class 12,PCM Stream,"Problem Solving,Python,Writing,Chemistry Lab,Mathematics,Communication","Defence,Engineering,Research",Civil Servant (IAS/IPS),"0 projects, 0 internships",Civil Servant (IAS/IPS)
Undergraduate,Science/B.Sc,"NumPy,Mathematics,SQL","Research,Finance,Business",Financial Risk Analyst,"2 projects, 0 internships",Data Analyst
Undergraduate,Commerce/B.Com,"Communication,Scrum,SQL","Finance,Government Jobs",Chartered Accountant,"2 projects, 0 internships",Chartered Accountant
Undergraduate,Commerce/B.Com,"Time Management,Taxation,Scrum","Government Jobs,Finance",Unknown Career,"2 projects, 0 internships",Chartered Accountant
Undergraduate,Science/B.Sc,"Communication,Data Visualization,Pandas,SQL","Technology,Business",Data Analyst,"0 projects, 1 internships",Data Analyst
Undergraduate,Electronics & Communication,"Python,Docker,Figma,AWS,Data Structures,Kubernetes",Research,Embedded Systems Engineer,"0 projects, 1 internships",Embedded Systems Engineer
Undergraduate,Computer Science,"React,SQL,Git,Python",AI/ML,Data Scientist,"0 projects, 0 internships",Software Engineer
Undergraduate,Electronics & Communication,"AWS,Mathematics,Python,Physics Lab,Linear Algebra,Figma","Engineering,Technology",Network Security Engineer,"2 projects, 0 internships",Embedded Systems Engineer
Undergraduate,Commerce/B.Com,"Taxation,Data Analytics,Time Management,Problem Solving,SQL,Communication","Business,Finance,Government Jobs",Financial Consultant,"2 projects, 1 internships",Chartered Accountant
Class 12,PCM Stream,"Communication,Python,Physics Lab,Writing,Mathematics,Chemistry Lab","Government Jobs,Defence",Research Scientist,"1 projects, 0 internships",Civil Servant (IAS/IPS)
Class 12,PCM Stream,"Physics Lab,Mathematics,Chemistry Lab,Problem Solving","Defence,Research",Defense Officer (Army/Navy/Air Force),"2 projects, 0 internships",Civil Servant (IAS/IPS)
Undergraduate,Business/BBA,"Marketing,Leadership,Business Strategy,Project Management,Sales,Product Management","Management,Business",Management Consultant,"1 projects, 0 internships",Product Manager
