id,title,provider,career,skills,duration,level
220,Technical Writing for Software Engineers - Edition 11,SWAYAM,Data Engineer,"Leadership,Technical Writing,Problem Solving",7,Advanced
221,Python for Data Science and AI - Edition 12,Google Career Certificates,Frontend Developer,"Java,JavaScript,HTML",12,Beginner
222,Mastering Data Structures & Algorithms - Edition 12,NPTEL,Backend Developer,"Python,Java,Node.js",16,Intermediate
223,React - The Complete Guide - Edition 12,Simplilearn,Full Stack Developer,"HTML,CSS,React",12,Intermediate
224,Machine Learning Specialization - Edition 12,Simplilearn,Mobile App Developer,"Communication,Public Speaking,Mathematics",19,Intermediate
225,Deep Learning and Neural Networks - Edition 12,NPTEL,Database Administrator,"Data Structures,Algorithms,Machine Learning",13,Beginner
226,AWS Certified Solutions Architect - Edition 12,NPTEL,Game Developer,"3D Modeling,Communication,Public Speaking",10,Beginner
227,UI/UX Design Masterclass - Edition 12,SWAYAM,QA Automation Engineer,"Rust,Creative Writing,Negotiation",7,Beginner
228,Introduction to Financial Accounting - Edition 12,Google Career Certificates,Network Security Engineer,"Django,Technical Writing,Biotechnology",4,Advanced
229,Product Management Fundamental Course - Edition 12,Google Career Certificates,Cloud DevOps Architect,"Natural Language Processing,Leadership,Teamwork",10,Beginner
230,Cybersecurity Threat Detection and Mitigation - Edition 12,SWAYAM,Systems Administrator,"Data Structures,Algorithms,Machine Learning",13,Intermediate
231,Academic Writing & Research Methodology - Edition 12,SWAYAM,VLSI Design Engineer,"Leadership,Technical Writing,Mathematics",5,Advanced
232,SQL Masterclass: SQL for Analytics - Edition 12,edX,Embedded Systems Engineer,"Vue.js,Creative Writing,Time Management",5,Beginner
233,Full-Stack Web Development Bootcamp - Edition 12,Great Learning,Aerospace Engineer,"Data Structures,Algorithms,Machine Learning",27,Intermediate
234,Google Project Management Certificate - Edition 12,Great Learning,Mechanical Design Engineer,"Graphic Design,SEO,Mathematics",15,Beginner
235,UPSC Preparation: Indian Polity and History - Edition 12,Coursera,Civil Site Engineer,"Leadership,Technical Writing,Creative Writing",41,Advanced
236,Corporate Law & Contract Drafting - Edition 12,Google Career Certificates,Chemical Engineer,"Communication,Leadership,Technical Writing",14,Intermediate
237,Embedded C Programming for IoT Devices - Edition 12,Great Learning,Financial Risk Analyst,"Statistics,Economics,Leadership",9,Intermediate
238,Statistical Inference for Researchers - Edition 12,SWAYAM,Stock Trader / Portfolio Manager,"Statistics,Economics,Public Speaking",6,Beginner
239,Business Strategy & Finance for Founders - Edition 12,edX,Tax Consultant,"Communication,Public Speaking,Time Management",6,Intermediate
240,Technical Writing for Software Engineers - Edition 12,SWAYAM,Human Resource Manager,"Data Structures,Algorithms,Machine Learning",5,Beginner
241,Python for Data Science and AI - Edition 13,Coursera,Operations Manager,"Data Structures,Algorithms,Machine Learning",9,Advanced
242,Mastering Data Structures & Algorithms - Edition 13,Simplilearn,SEO & Content Writer,"React,Angular,Vue.js",14,Advanced
243,React - The Complete Guide - Edition 13,Simplilearn,Journalist & Media Reporter,"Git,Communication,Leadership",10,Beginner
244,Machine Learning Specialization - Edition 13,Udemy,3D Animator & Visual Artist,"3D Modeling,Communication,Creative Writing",15,Intermediate
245,Deep Learning and Neural Networks - Edition 13,SWAYAM,Patent Attorney,"Communication,Technical Writing,Time Management",18,Intermediate
246,AWS Certified Solutions Architect - Edition 13,Coursera,Criminal Defense Lawyer,"Kotlin,Public Speaking,Negotiation",13,Beginner
247,UI/UX Design Masterclass - Edition 13,Udemy,High School Physics Teacher,"Public Speaking,Problem Solving,Negotiation",7,Advanced
248,Introduction to Financial Accounting - Edition 13,Simplilearn,College Professor (Computer Science),"Problem Solving,Teamwork,Research Methodology",6,Advanced
249,Product Management Fundamental Course - Edition 13,edX,Clinical Psychologist,"Communication,Public Speaking,Problem Solving",8,Intermediate
250,Cybersecurity Threat Detection and Mitigation - Edition 13,edX,Clinical Research Associate,"GraphQL,Technical Writing,Teamwork",12,Advanced
251,Academic Writing & Research Methodology - Edition 13,Simplilearn,Pharmacist,"Java,Problem Solving,Critical Thinking",4,Intermediate
252,SQL Masterclass: SQL for Analytics - Edition 13,edX,General Medical Practitioner,"Communication,Public Speaking,Technical Writing",10,Beginner
253,Full-Stack Web Development Bootcamp - Edition 13,Coursera,Agricultural Officer,"Go,Economics,Public Speaking",25,Beginner
254,Google Project Management Certificate - Edition 13,SWAYAM,Food Technologist,"Communication,Leadership,Technical Writing",12,Beginner
255,UPSC Preparation: Indian Polity and History - Edition 13,Coursera,Environmental Consultant,"Go,Product Management,Business Analysis",41,Beginner
256,Corporate Law & Contract Drafting - Edition 13,Google Career Certificates,Social Worker (NGO Manager),"Communication,Public Speaking,Problem Solving",13,Advanced
257,Embedded C Programming for IoT Devices - Edition 13,NPTEL,Public Policy Analyst,"Go,AWS,Economics",14,Advanced
258,Statistical Inference for Researchers - Edition 13,NPTEL,Data Scientist,"Machine Learning,Statistics,Leadership",12,Advanced
259,Business Strategy & Finance for Founders - Edition 13,edX,Cybersecurity Consultant,"Product Management,Business Analysis,Financial Accounting",11,Beginner
260,Technical Writing for Software Engineers - Edition 13,Great Learning,Enterprise Risk Consultant,"Product Management,Business Analysis,Financial Accounting",4,Advanced
261,Python for Data Science and AI - Edition 14,Udemy,User Experience Researcher,"Communication,Technical Writing,Time Management",12,Beginner
262,Mastering Data Structures & Algorithms - Edition 14,Google Career Certificates,Solutions Architect,"Product Management,Business Analysis,Financial Accounting",14,Beginner
263,React - The Complete Guide - Edition 14,Great Learning,Robotics Software Engineer,"Computer Vision,Leadership,Time Management",11,Advanced
264,Machine Learning Specialization - Edition 14,Great Learning,Biomedical Instrumentation Engineer,"Data Structures,Algorithms,Machine Learning",19,Beginner
265,Deep Learning and Neural Networks - Edition 14,SWAYAM,Actuarial Analyst,"Statistics,Problem Solving,Time Management",14,Beginner
266,AWS Certified Solutions Architect - Edition 14,edX,Financial Consultant,"Data Analytics,Economics,Problem Solving",13,Beginner
267,UI/UX Design Masterclass - Edition 14,Simplilearn,Supply Chain Analyst,"Product Management,Business Analysis,Financial Accounting",6,Beginner
268,Introduction to Financial Accounting - Edition 14,NPTEL,Brand Strategist,"Marketing,Communication,Public Speaking",9,Intermediate
269,Product Management Fundamental Course - Edition 14,Udemy,Media Planner,"Data Structures,Algorithms,Machine Learning",7,Intermediate
270,Cybersecurity Threat Detection and Mitigation - Edition 14,Coursera,Technical Product Owner,"React,Angular,Vue.js",12,Beginner
271,Academic Writing & Research Methodology - Edition 14,NPTEL,Creative Director,"Graphic Design,Communication,Leadership",8,Beginner
272,SQL Masterclass: SQL for Analytics - Edition 14,Simplilearn,IP Litigation Specialist,"Leadership,Public Speaking,Time Management",7,Beginner
273,Full-Stack Web Development Bootcamp - Edition 14,edX,Public Prosecutor,"Java,Creative Writing,Negotiation",23,Intermediate
274,Google Project Management Certificate - Edition 14,NPTEL,Special Education Teacher,"Communication,Leadership,Problem Solving",11,Advanced
275,UPSC Preparation: Indian Polity and History - Edition 14,SWAYAM,Data Visualization Specialist,"SQL,Statistics,SQL",41,Advanced
276,Corporate Law & Contract Drafting - Edition 14,NPTEL,SRE Engineer,"Data Structures,Algorithms,Machine Learning",16,Beginner
277,Embedded C Programming for IoT Devices - Edition 14,NPTEL,VLSI Verification Engineer,"C++,Git,Leadership",11,Advanced
278,Statistical Inference for Researchers - Edition 14,Simplilearn,Embedded Firmware Developer,"C++,Public Speaking,Creative Writing",11,Advanced
279,Business Strategy & Finance for Founders - Edition 14,SWAYAM,IoT Systems Architect,"Leadership,Creative Writing,Critical Thinking",12,Intermediate
280,Technical Writing for Software Engineers - Edition 14,Simplilearn,Aerodynamics Analyst,"Technical Writing,Creative Writing,Time Management",4,Intermediate
281,Python for Data Science and AI - Edition 15,SWAYAM,Structural Design Engineer,"Deep Learning,Creative Writing,Academic Writing",8,Beginner
282,Mastering Data Structures & Algorithms - Edition 15,Udemy,Chemical Process Safety Specialist,"Data Structures,React,REST APIs",16,Beginner
283,React - The Complete Guide - Edition 15,Google Career Certificates,Quantitative Finance Analyst,"Go,Algorithms,Statistics",13,Beginner
284,Machine Learning Specialization - Edition 15,Google Career Certificates,Arbitrage Trader,"Economics,Leadership,Technical Writing",15,Beginner
285,Deep Learning and Neural Networks - Edition 15,Simplilearn,Corporate Treasury Analyst,"Economics,Technical Writing,Time Management",14,Intermediate
286,AWS Certified Solutions Architect - Edition 15,Udemy,HR Recruitment Specialist,"Product Management,Business Analysis,Financial Accounting",15,Advanced
287,UI/UX Design Masterclass - Edition 15,NPTEL,Digital Marketing Specialist,"Data Structures,Algorithms,Machine Learning",9,Advanced
288,Introduction to Financial Accounting - Edition 15,Google Career Certificates,News Editor,"Communication,Technical Writing,Creative Writing",8,Beginner
289,Product Management Fundamental Course - Edition 15,SWAYAM,Illustrator & Concept Artist,"Graphic Design,Creative Writing,Critical Thinking",4,Advanced
290,Cybersecurity Threat Detection and Mitigation - Edition 15,SWAYAM,Regulatory Affairs Specialist,"Go,Creative Writing,Problem Solving",12,Beginner
291,Academic Writing & Research Methodology - Edition 15,Simplilearn,Bioinformatics Analyst,"Go,Algorithms,Statistics",8,Advanced
292,SQL Masterclass: SQL for Analytics - Edition 15,Coursera,Organic Chemist,"Django,Business Strategy,Chemistry Lab",5,Advanced
293,Full-Stack Web Development Bootcamp - Edition 15,Simplilearn,Academic Counsellor,"Communication,Technical Writing,Creative Writing",26,Advanced
294,Google Project Management Certificate - Edition 15,Simplilearn,Disaster Relief Coordinator,"Data Structures,Algorithms,Machine Learning",10,Advanced
295,UPSC Preparation: Indian Polity and History - Edition 15,Simplilearn,Urban Policy Researcher,"Economics,Communication,Public Speaking",42,Beginner
296,Corporate Law & Contract Drafting - Edition 15,SWAYAM,Corporate Social Responsibility Lead,"Go,Product Management,Business Analysis",15,Advanced
297,Embedded C Programming for IoT Devices - Edition 15,Udemy,System Security Architect,"C++,Communication,Problem Solving",11,Advanced
298,Statistical Inference for Researchers - Edition 15,SWAYAM,E-commerce Category Manager,"Product Management,Business Analysis,Financial Accounting",8,Intermediate
299,Business Strategy & Finance for Founders - Edition 15,Udemy,Speech & Language Therapist,"Data Structures,Algorithms,Machine Learning",10,Beginner
300,Technical Writing for Software Engineers - Edition 15,SWAYAM,Horticulturist,"Leadership,Creative Writing,Problem Solving",8,Intermediate
301,Python for Data Science and AI - Edition 16,edX,Software Engineer,"Data Structures,Algorithms,Machine Learning",11,Intermediate
302,Mastering Data Structures & Algorithms - Edition 16,Coursera,AI/ML Engineer,"Data Structures,Algorithms,Machine Learning",10,Beginner
303,React - The Complete Guide - Edition 16,Simplilearn,Data Analyst,"Statistics,Product Management,Business Analysis",9,Advanced
304,Machine Learning Specialization - Edition 16,Great Learning,Product Manager,"Product Management,Business Analysis,Financial Accounting",20,Advanced
305,Deep Learning and Neural Networks - Edition 16,Google Career Certificates,Cybersecurity Analyst,"Node.js,Communication,Public Speaking",16,Advanced
306,AWS Certified Solutions Architect - Edition 16,edX,UI/UX Designer,"HTML,CSS,React",10,Intermediate
307,UI/UX Design Masterclass - Edition 16,Simplilearn,Chartered Accountant,"Product Management,Business Analysis,Financial Accounting",9,Intermediate
308,Introduction to Financial Accounting - Edition 16,Google Career Certificates,Civil Servant (IAS/IPS),"Go,Data Structures,Algorithms",4,Beginner
309,Product Management Fundamental Course - Edition 16,edX,Management Consultant,"Product Management,Business Analysis,Financial Accounting",8,Intermediate
310,Cybersecurity Threat Detection and Mitigation - Edition 16,SWAYAM,Biotechnology Researcher,"Leadership,Research Methodology,Academic Writing",9,Intermediate
311,Academic Writing & Research Methodology - Edition 16,edX,Cloud Architect,"Product Management,Business Analysis,Financial Accounting",5,Beginner
312,SQL Masterclass: SQL for Analytics - Edition 16,Google Career Certificates,DevOps Engineer,"Creative Writing,Time Management,Negotiation",8,Advanced
313,Full-Stack Web Development Bootcamp - Edition 16,edX,Investment Banker,"Go,Data Structures,Algorithms",26,Intermediate
314,Google Project Management Certificate - Edition 16,Google Career Certificates,Marketing Manager,"Marketing,Economics,Communication",14,Beginner
315,UPSC Preparation: Indian Polity and History - Edition 16,SWAYAM,Corporate Lawyer,"Product Management,Business Analysis,Financial Accounting",40,Advanced
316,Corporate Law & Contract Drafting - Edition 16,edX,Defense Officer (Army/Navy/Air Force),"Data Structures,Algorithms,Machine Learning",11,Intermediate
317,Embedded C Programming for IoT Devices - Edition 16,Great Learning,Entrepreneur,"Product Management,Business Analysis,Financial Accounting",12,Beginner
318,Statistical Inference for Researchers - Edition 16,Simplilearn,Research Scientist,"Negotiation,Research Methodology,Academic Writing",10,Beginner
319,Business Strategy & Finance for Founders - Edition 16,Simplilearn,Public Relations Specialist,"Communication,Leadership,Time Management",11,Beginner
320,Technical Writing for Software Engineers - Edition 16,NPTEL,Data Engineer,"Leadership,Technical Writing,Problem Solving",2,Intermediate
321,Python for Data Science and AI - Edition 17,SWAYAM,Frontend Developer,"Java,JavaScript,HTML",12,Intermediate
322,Mastering Data Structures & Algorithms - Edition 17,edX,Backend Developer,"Python,Java,Node.js",12,Beginner
323,React - The Complete Guide - Edition 17,SWAYAM,Full Stack Developer,"HTML,CSS,React",8,Beginner
324,Machine Learning Specialization - Edition 17,Udemy,Mobile App Developer,"Communication,Public Speaking,Mathematics",20,Advanced
325,Deep Learning and Neural Networks - Edition 17,Google Career Certificates,Database Administrator,"Data Structures,Algorithms,Machine Learning",12,Advanced
326,AWS Certified Solutions Architect - Edition 17,NPTEL,Game Developer,"3D Modeling,Communication,Public Speaking",16,Intermediate
327,UI/UX Design Masterclass - Edition 17,Simplilearn,QA Automation Engineer,"Rust,Creative Writing,Negotiation",12,Beginner
328,Introduction to Financial Accounting - Edition 17,Great Learning,Network Security Engineer,"Django,Technical Writing,Biotechnology",6,Advanced
329,Product Management Fundamental Course - Edition 17,SWAYAM,Cloud DevOps Architect,"Natural Language Processing,Leadership,Teamwork",10,Intermediate
330,Cybersecurity Threat Detection and Mitigation - Edition 17,Coursera,Systems Administrator,"Data Structures,Algorithms,Machine Learning",9,Advanced
331,Academic Writing & Research Methodology - Edition 17,Great Learning,VLSI Design Engineer,"Leadership,Technical Writing,Mathematics",5,Beginner
332,SQL Masterclass: SQL for Analytics - Edition 17,Udemy,Embedded Systems Engineer,"Vue.js,Creative Writing,Time Management",9,Beginner
333,Full-Stack Web Development Bootcamp - Edition 17,Great Learning,Aerospace Engineer,"Data Structures,Algorithms,Machine Learning",28,Advanced
334,Google Project Management Certificate - Edition 17,NPTEL,Mechanical Design Engineer,"Graphic Design,SEO,Mathematics",12,Advanced
335,UPSC Preparation: Indian Polity and History - Edition 17,SWAYAM,Civil Site Engineer,"Leadership,Technical Writing,Creative Writing",41,Advanced
336,Corporate Law & Contract Drafting - Edition 17,NPTEL,Chemical Engineer,"Communication,Leadership,Technical Writing",12,Beginner
337,Embedded C Programming for IoT Devices - Edition 17,NPTEL,Financial Risk Analyst,"Statistics,Economics,Leadership",10,Beginner
338,Statistical Inference for Researchers - Edition 17,edX,Stock Trader / Portfolio Manager,"Statistics,Economics,Public Speaking",10,Advanced
339,Business Strategy & Finance for Founders - Edition 17,NPTEL,Tax Consultant,"Communication,Public Speaking,Time Management",12,Advanced
340,Technical Writing for Software Engineers - Edition 17,SWAYAM,Human Resource Manager,"Data Structures,Algorithms,Machine Learning",7,Advanced
341,Python for Data Science and AI - Edition 18,Coursera,Operations Manager,"Data Structures,Algorithms,Machine Learning",11,Intermediate
342,Mastering Data Structures & Algorithms - Edition 18,Simplilearn,SEO & Content Writer,"React,Angular,Vue.js",13,Intermediate
343,React - The Complete Guide - Edition 18,Udemy,Journalist & Media Reporter,"Git,Communication,Leadership",12,Beginner
344,Machine Learning Specialization - Edition 18,Great Learning,3D Animator & Visual Artist,"3D Modeling,Communication,Creative Writing",14,Beginner
345,Deep Learning and Neural Networks - Edition 18,Coursera,Patent Attorney,"Communication,Technical Writing,Time Management",13,Intermediate
346,AWS Certified Solutions Architect - Edition 18,Udemy,Criminal Defense Lawyer,"Kotlin,Public Speaking,Negotiation",11,Advanced
347,UI/UX Design Masterclass - Edition 18,Udemy,High School Physics Teacher,"Public Speaking,Problem Solving,Negotiation",10,Advanced
348,Introduction to Financial Accounting - Edition 18,Google Career Certificates,College Professor (Computer Science),"Problem Solving,Teamwork,Research Methodology",6,Advanced
349,Product Management Fundamental Course - Edition 18,SWAYAM,Clinical Psychologist,"Communication,Public Speaking,Problem Solving",8,Intermediate
350,Cybersecurity Threat Detection and Mitigation - Edition 18,edX,Clinical Research Associate,"GraphQL,Technical Writing,Teamwork",10,Intermediate
351,Academic Writing & Research Methodology - Edition 18,edX,Pharmacist,"Java,Problem Solving,Critical Thinking",3,Advanced
352,SQL Masterclass: SQL for Analytics - Edition 18,Google Career Certificates,General Medical Practitioner,"Communication,Public Speaking,Technical Writing",10,Advanced
353,Full-Stack Web Development Bootcamp - Edition 18,Udemy,Agricultural Officer,"Go,Economics,Public Speaking",23,Beginner
354,Google Project Management Certificate - Edition 18,edX,Food Technologist,"Communication,Leadership,Technical Writing",13,Intermediate
355,UPSC Preparation: Indian Polity and History - Edition 18,Coursera,Environmental Consultant,"Go,Product Management,Business Analysis",41,Beginner
356,Corporate Law & Contract Drafting - Edition 18,Simplilearn,Social Worker (NGO Manager),"Communication,Public Speaking,Problem Solving",14,Advanced
357,Embedded C Programming for IoT Devices - Edition 18,NPTEL,Public Policy Analyst,"Go,AWS,Economics",8,Intermediate
358,Statistical Inference for Researchers - Edition 18,Simplilearn,Data Scientist,"Machine Learning,Statistics,Leadership",10,Intermediate
359,Business Strategy & Finance for Founders - Edition 18,SWAYAM,Cybersecurity Consultant,"Product Management,Business Analysis,Financial Accounting",10,Intermediate
360,Technical Writing for Software Engineers - Edition 18,Coursera,Enterprise Risk Consultant,"Product Management,Business Analysis,Financial Accounting",7,Beginner
361,Python for Data Science and AI - Edition 19,NPTEL,User Experience Researcher,"Communication,Technical Writing,Time Management",6,Intermediate
362,Mastering Data Structures & Algorithms - Edition 19,Great Learning,Solutions Architect,"Product Management,Business Analysis,Financial Accounting",14,Intermediate
363,React - The Complete Guide - Edition 19,NPTEL,Robotics Software Engineer,"Computer Vision,Leadership,Time Management",14,Beginner
364,Machine Learning Specialization - Edition 19,Google Career Certificates,Biomedical Instrumentation Engineer,"Data Structures,Algorithms,Machine Learning",18,Advanced
365,Deep Learning and Neural Networks - Edition 19,NPTEL,Actuarial Analyst,"Statistics,Problem Solving,Time Management",17,Advanced
366,AWS Certified Solutions Architect - Edition 19,Simplilearn,Financial Consultant,"Data Analytics,Economics,Problem Solving",16,Beginner
367,UI/UX Design Masterclass - Edition 19,Coursera,Supply Chain Analyst,"Product Management,Business Analysis,Financial Accounting",8,Intermediate
368,Introduction to Financial Accounting - Edition 19,Udemy,Brand Strategist,"Marketing,Communication,Public Speaking",9,Beginner
369,Product Management Fundamental Course - Edition 19,Google Career Certificates,Media Planner,"Data Structures,Algorithms,Machine Learning",7,Beginner
370,Cybersecurity Threat Detection and Mitigation - Edition 19,Google Career Certificates,Technical Product Owner,"React,Angular,Vue.js",10,Intermediate
371,Academic Writing & Research Methodology - Edition 19,Udemy,Creative Director,"Graphic Design,Communication,Leadership",7,Advanced
372,SQL Masterclass: SQL for Analytics - Edition 19,Google Career Certificates,IP Litigation Specialist,"Leadership,Public Speaking,Time Management",4,Intermediate
373,Full-Stack Web Development Bootcamp - Edition 19,Google Career Certificates,Public Prosecutor,"Java,Creative Writing,Negotiation",26,Beginner
374,Google Project Management Certificate - Edition 19,Great Learning,Special Education Teacher,"Communication,Leadership,Problem Solving",10,Advanced
375,UPSC Preparation: Indian Polity and History - Edition 19,edX,Data Visualization Specialist,"SQL,Statistics,SQL",41,Beginner
376,Corporate Law & Contract Drafting - Edition 19,Google Career Certificates,SRE Engineer,"Data Structures,Algorithms,Machine Learning",12,Advanced
377,Embedded C Programming for IoT Devices - Edition 19,Udemy,VLSI Verification Engineer,"C++,Git,Leadership",11,Advanced
378,Statistical Inference for Researchers - Edition 19,Simplilearn,Embedded Firmware Developer,"C++,Public Speaking,Creative Writing",10,Beginner
379,Business Strategy & Finance for Founders - Edition 19,edX,IoT Systems Architect,"Leadership,Creative Writing,Critical Thinking",8,Advanced
380,Technical Writing for Software Engineers - Edition 19,Udemy,Aerodynamics Analyst,"Technical Writing,Creative Writing,Time Management",4,Intermediate
381,Python for Data Science and AI - Edition 20,NPTEL,Structural Design Engineer,"Deep Learning,Creative Writing,Academic Writing",11,Intermediate
382,Mastering Data Structures & Algorithms - Edition 20,Udemy,Chemical Process Safety Specialist,"Data Structures,React,REST APIs",12,Advanced
383,React - The Complete Guide - Edition 20,Coursera,Quantitative Finance Analyst,"Go,Algorithms,Statistics",14,Advanced
384,Machine Learning Specialization - Edition 20,edX,Arbitrage Trader,"Economics,Leadership,Technical Writing",17,Intermediate
385,Deep Learning and Neural Networks - Edition 20,Udemy,Corporate Treasury Analyst,"Economics,Technical Writing,Time Management",17,Beginner
386,AWS Certified Solutions Architect - Edition 20,Coursera,HR Recruitment Specialist,"Product Management,Business Analysis,Financial Accounting",11,Beginner
387,UI/UX Design Masterclass - Edition 20,Great Learning,Digital Marketing Specialist,"Data Structures,Algorithms,Machine Learning",7,Advanced
388,Introduction to Financial Accounting - Edition 20,Simplilearn,News Editor,"Communication,Technical Writing,Creative Writing",9,Advanced
389,Product Management Fundamental Course - Edition 20,Google Career Certificates,Illustrator & Concept Artist,"Graphic Design,Creative Writing,Critical Thinking",10,Beginner
390,Cybersecurity Threat Detection and Mitigation - Edition 20,Coursera,Regulatory Affairs Specialist,"Go,Creative Writing,Problem Solving",8,Advanced
391,Academic Writing & Research Methodology - Edition 20,Coursera,Bioinformatics Analyst,"Go,Algorithms,Statistics",5,Beginner
392,SQL Masterclass: SQL for Analytics - Edition 20,Simplilearn,Organic Chemist,"Django,Business Strategy,Chemistry Lab",5,Advanced
393,Full-Stack Web Development Bootcamp - Edition 20,Coursera,Academic Counsellor,"Communication,Technical Writing,Creative Writing",24,Intermediate
394,Google Project Management Certificate - Edition 20,Great Learning,Disaster Relief Coordinator,"Data Structures,Algorithms,Machine Learning",15,Beginner
395,UPSC Preparation: Indian Polity and History - Edition 20,NPTEL,Urban Policy Researcher,"Economics,Communication,Public Speaking",43,Beginner
396,Corporate Law & Contract Drafting - Edition 20,Udemy,Corporate Social Responsibility Lead,"Go,Product Management,Business Analysis",16,Beginner
397,Embedded C Programming for IoT Devices - Edition 20,edX,System Security Architect,"C++,Communication,Problem Solving",12,Intermediate
398,Statistical Inference for Researchers - Edition 20,Coursera,E-commerce Category Manager,"Product Management,Business Analysis,Financial Accounting",10,Intermediate
399,Business Strategy & Finance for Founders - Edition 20,Coursera,Speech & Language Therapist,"Data Structures,Algorithms,Machine Learning",6,Advanced
400,Technical Writing for Software Engineers - Edition 20,SWAYAM,Horticulturist,"Leadership,Creative Writing,Problem Solving",2,Advanced
401,Python for Data Science and AI - Edition 21,NPTEL,Software Engineer,"Data Structures,Algorithms,Machine Learning",10,Advanced
402,Mastering Data Structures & Algorithms - Edition 21,Udemy,AI/ML Engineer,"Data Structures,Algorithms,Machine Learning",15,Advanced
403,React - The Complete Guide - Edition 21,Great Learning,Data Analyst,"Statistics,Product Management,Business Analysis",11,Beginner
404,Machine Learning Specialization - Edition 21,Google Career Certificates,Product Manager,"Product Management,Business Analysis,Financial Accounting",15,Beginner
405,Deep Learning and Neural Networks - Edition 21,Coursera,Cybersecurity Analyst,"Node.js,Communication,Public Speaking",14,Advanced
406,AWS Certified Solutions Architect - Edition 21,Coursera,UI/UX Designer,"HTML,CSS,React",13,Advanced
407,UI/UX Design Masterclass - Edition 21,SWAYAM,Chartered Accountant,"Product Management,Business Analysis,Financial Accounting",12,Intermediate
408,Introduction to Financial Accounting - Edition 21,Google Career Certificates,Civil Servant (IAS/IPS),"Go,Data Structures,Algorithms",10,Beginner
409,Product Management Fundamental Course - Edition 21,edX,Management Consultant,"Product Management,Business Analysis,Financial Accounting",9,Advanced
410,Cybersecurity Threat Detection and Mitigation - Edition 21,Great Learning,Biotechnology Researcher,"Leadership,Research Methodology,Academic Writing",12,Intermediate
411,Academic Writing & Research Methodology - Edition 21,edX,Cloud Architect,"Product Management,Business Analysis,Financial Accounting",6,Intermediate
412,SQL Masterclass: SQL for Analytics - Edition 21,SWAYAM,DevOps Engineer,"Creative Writing,Time Management,Negotiation",8,Intermediate
413,Full-Stack Web Development Bootcamp - Edition 21,Simplilearn,Investment Banker,"Go,Data Structures,Algorithms",26,Advanced
414,Google Project Management Certificate - Edition 21,edX,Marketing Manager,"Marketing,Economics,Communication",10,Beginner
415,UPSC Preparation: Indian Polity and History - Edition 21,Great Learning,Corporate Lawyer,"Product Management,Business Analysis,Financial Accounting",43,Advanced
416,Corporate Law & Contract Drafting - Edition 21,Coursera,Defense Officer (Army/Navy/Air Force),"Data Structures,Algorithms,Machine Learning",12,Beginner
417,Embedded C Programming for IoT Devices - Edition 21,SWAYAM,Entrepreneur,"Product Management,Business Analysis,Financial Accounting",8,Advanced
418,Statistical Inference for Researchers - Edition 21,Coursera,Research Scientist,"Negotiation,Research Methodology,Academic Writing",12,Intermediate
419,Business Strategy & Finance for Founders - Edition 21,SWAYAM,Public Relations Specialist,"Communication,Leadership,Time Management",10,Intermediate
420,Technical Writing for Software Engineers - Edition 21,Google Career Certificates,Data Engineer,"Leadership,Technical Writing,Problem Solving",8,Intermediate
421,Python for Data Science and AI - Edition 22,SWAYAM,Frontend Developer,"Java,JavaScript,HTML",6,Beginner
422,Mastering Data Structures & Algorithms - Edition 22,SWAYAM,Backend Developer,"Python,Java,Node.js",16,Advanced
423,React - The Complete Guide - Edition 22,Google Career Certificates,Full Stack Developer,"HTML,CSS,React",12,Intermediate
424,Machine Learning Specialization - Edition 22,Udemy,Mobile App Developer,"Communication,Public Speaking,Mathematics",19,Beginner
425,Deep Learning and Neural Networks - Edition 22,Google Career Certificates,Database Administrator,"Data Structures,Algorithms,Machine Learning",16,Beginner
426,AWS Certified Solutions Architect - Edition 22,Great Learning,Game Developer,"3D Modeling,Communication,Public Speaking",13,Advanced
427,UI/UX Design Masterclass - Edition 22,Great Learning,QA Automation Engineer,"Rust,Creative Writing,Negotiation",12,Beginner
428,Introduction to Financial Accounting - Edition 22,SWAYAM,Network Security Engineer,"Django,Technical Writing,Biotechnology",6,Intermediate
429,Product Management Fundamental Course - Edition 22,Simplilearn,Cloud DevOps Architect,"Natural Language Processing,Leadership,Teamwork",10,Intermediate
430,Cybersecurity Threat Detection and Mitigation - Edition 22,NPTEL,Systems Administrator,"Data Structures,Algorithms,Machine Learning",8,Advanced
431,Academic Writing & Research Methodology - Edition 22,Great Learning,VLSI Design Engineer,"Leadership,Technical Writing,Mathematics",2,Advanced
432,SQL Masterclass: SQL for Analytics - Edition 22,Google Career Certificates,Embedded Systems Engineer,"Vue.js,Creative Writing,Time Management",10,Intermediate
433,Full-Stack Web Development Bootcamp - Edition 22,edX,Aerospace Engineer,"Data Structures,Algorithms,Machine Learning",23,Intermediate
434,Google Project Management Certificate - Edition 22,Google Career Certificates,Mechanical Design Engineer,"Graphic Design,SEO,Mathematics",10,Advanced
435,UPSC Preparation: Indian Polity and History - Edition 22,Simplilearn,Civil Site Engineer,"Leadership,Technical Writing,Creative Writing",43,Advanced
436,Corporate Law & Contract Drafting - Edition 22,Google Career Certificates,Chemical Engineer,"Communication,Leadership,Technical Writing",15,Beginner
437,Embedded C Programming for IoT Devices - Edition 22,Coursera,Financial Risk Analyst,"Statistics,Economics,Leadership",8,Advanced
438,Statistical Inference for Researchers - Edition 22,NPTEL,Stock Trader / Portfolio Manager,"Statistics,Economics,Public Speaking",11,Beginner
