id,name,provider,eligibility,education,category,amount,deadline,official_url
133,K.C. Mahindra Scholarships for Post-Graduate Studies Abroad - 2032,K.C. Mahindra Education Trust,Graduates pursuing PG Abroad,Postgrad (Study Abroad),"Engineering,Business,Science","Up to Rs. 8,00,000 interest-free loan",31-03-2027,https://www.kcmet.org
134,LIC Golden Jubilee Scholarship - 2032,LIC of India,Class 12 / Diploma (EWS),Undergrad/Diploma,Social Impact,"Rs. 20,000 / year",24-12-2026,https://licindia.in
135,Prime Minister's Scholarship Scheme (PMSS) - 2032,Ministry of Defence,Wards of Ex-servicemen UG/PG,Undergrad/Postgrad,"Defence,Government Jobs","Up to Rs. 3,000 / month",30-11-2026,https://desw.gov.in
136,Olay Scholarship for Women in STEM - 2032,Olay India / Buddy4Study,Girls enrolled in STEM Degrees,Undergrad (STEM),"Science,Technology,Engineering","Rs. 1,00,000",15-12-2026,https://www.buddy4study.com
137,British Council Great Scholarships - 2032,British Council,Undergraduates going to UK,Postgrad (Study Abroad),All Branches,"GBP 10,000 tuition fee waiver",30-04-2027,https://study-uk.britishcouncil.org
138,DAAD Scholarships for PG Studies in Germany - 2032,DAAD Germany,Bachelor Graduates in India,Postgrad (Study Abroad),"Science,Engineering",Full stipend + health insurance,15-10-2026,https://www.daad.in
139,Fulbright-Nehru Master's Fellowships - 2032,USIEF,Bachelor Graduates with 3y work exp,Postgrad (Study Abroad),All Branches,"J-1 visa support, tuition, health insurance",15-05-2026,https://www.usief.org.in
140,Fair & Lovely Career Foundation Scholarship - 2032,Hindustan Unilever,Class 12 / College Girls,Class 12 to Postgrad,Social Impact,"Up to Rs. 50,000",30-10-2026,https://www.buddy4study.com
141,NSP (National Scholarship Portal) Central Sector Scheme - 2033,Government of India,Class 12 / College Students,Class 12 / Undergrad,"Government Jobs,Social Impact","Up to Rs. 20,000 / year",31-10-2026,https://scholarships.gov.in
142,KVPY (Kishore Vaigyanik Protsahan Yojana) - 2033,"DST, Govt of India","Class 11, Class 12, B.Sc 1st Year",Class 11/12/B.Sc,"Research,Science","Up to Rs. 7,000 / month + Contingency",30-10-2026,http://www.kvpy.iisc.ernet.in
143,HDFC Bank Badhte Kadam Scholarship - 2033,HDFC Bank,Class 11 to Undergrad,Class 11 to Undergrad,Social Impact,"Up to Rs. 1,00,000 / year",30-09-2026,https://www.buddy4study.com
144,Reliance Foundation Undergraduate Scholarships - 2033,Reliance Foundation,First Year UG Students,Undergrad,"Technology,Engineering,Business","Up to Rs. 2,00,000",15-10-2026,https://www.reliancefoundation.org
145,Tata Scholarship at Cornell University - 2033,Tata Trusts,Undergraduate Admissions at Cornell,Undergrad (Study Abroad),"Technology,Engineering,Business",Full Tuition Support,15-03-2027,https://admissions.cornell.edu
146,Aditya Birla Capital Scholarship - 2033,Aditya Birla Capital Foundation,Class 9 to Undergrad,Class 9 to Undergrad,Social Impact,"Up to Rs. 60,000",30-09-2026,https://www.adityabirlacapital.com
147,L'Oréal India For Young Women In Science Scholarship - 2033,L'Oréal India,Class 12 Girls (Science),Class 12 (Girls),"Science,Research","Rs. 2,50,000 for graduation",15-10-2026,https://www.foryoungwomeninscience.co.in
148,Dr. Ambedkar Post Matric Scholarship for EBC Students - 2033,Ministry of Social Justice,EBC Postgraduate/Undergrad,Undergrad/Postgrad,"Government Jobs,Social Impact",Maintenance allowance and fees reimbursed,30-11-2026,https://scholarships.gov.in
149,Sitaram Jindal Foundation Scholarship - 2033,Sitaram Jindal Foundation,"Class 11 to Postgrad, ITI, Diploma",Class 11 to Postgrad,Social Impact,"Up to Rs. 3,200 / month",31-12-2026,https://sitaramjindalfoundation.org
150,INSPIRE Scholarship (SHE) - 2033,"DST, Govt of India",Class 12 Top 1% students in Board,B.Sc/Int. M.Sc,"Research,Science","Rs. 80,000 / year",31-12-2026,https://online-inspire.gov.in
151,AICTE Pragati Scholarship for Girl Students - 2033,AICTE,First Year Degree/Diploma Girls,B.Tech/Diploma,"Engineering,Technology","Rs. 50,000 / year",30-11-2026,https://www.aicte-india.org
152,Adobe India Women in Technology Scholarship - 2033,Adobe India,Undergraduate CSE/ECE Girls,B.Tech/BE (CSE/ECE),"Technology,AI/ML",Tuition fees + Intern interview,15-11-2026,https://www.adobe.com
153,K.C. Mahindra Scholarships for Post-Graduate Studies Abroad - 2033,K.C. Mahindra Education Trust,Graduates pursuing PG Abroad,Postgrad (Study Abroad),"Engineering,Business,Science","Up to Rs. 8,00,000 interest-free loan",31-03-2027,https://www.kcmet.org
154,LIC Golden Jubilee Scholarship - 2033,LIC of India,Class 12 / Diploma (EWS),Undergrad/Diploma,Social Impact,"Rs. 20,000 / year",24-12-2026,https://licindia.in
155,Prime Minister's Scholarship Scheme (PMSS) - 2033,Ministry of Defence,Wards of Ex-servicemen UG/PG,Undergrad/Postgrad,"Defence,Government Jobs","Up to Rs. 3,000 / month",30-11-2026,https://desw.gov.in
156,Olay Scholarship for Women in STEM - 2033,Olay India / Buddy4Study,Girls enrolled in STEM Degrees,Undergrad (STEM),"Science,Technology,Engineering","Rs. 1,00,000",15-12-2026,https://www.buddy4study.com
157,British Council Great Scholarships - 2033,British Council,Undergraduates going to UK,Postgrad (Study Abroad),All Branches,"GBP 10,000 tuition fee waiver",30-04-2027,https://study-uk.britishcouncil.org
158,DAAD Scholarships for PG Studies in Germany - 2033,DAAD Germany,Bachelor Graduates in India,Postgrad (Study Abroad),"Science,Engineering",Full stipend + health insurance,15-10-2026,https://www.daad.in
159,Fulbright-Nehru Master's Fellowships - 2033,USIEF,Bachelor Graduates with 3y work exp,Postgrad (Study Abroad),All Branches,"J-1 visa support, tuition, health insurance",15-05-2026,https://www.usief.org.in
160,Fair & Lovely Career Foundation Scholarship - 2033,Hindustan Unilever,Class 12 / College Girls,Class 12 to Postgrad,Social Impact,"Up to Rs. 50,000",30-10-2026,https://www.buddy4study.com
161,NSP (National Scholarship Portal) Central Sector Scheme - 2034,Government of India,Class 12 / College Students,Class 12 / Undergrad,"Government Jobs,Social Impact","Up to Rs. 20,000 / year",31-10-2026,https://scholarships.gov.in
162,KVPY (Kishore Vaigyanik Protsahan Yojana) - 2034,"DST, Govt of India","Class 11, Class 12, B.Sc 1st Year",Class 11/12/B.Sc,"Research,Science","Up to Rs. 7,000 / month + Contingency",30-10-2026,http://www.kvpy.iisc.ernet.in
163,HDFC Bank Badhte Kadam Scholarship - 2034,HDFC Bank,Class 11 to Undergrad,Class 11 to Undergrad,Social Impact,"Up to Rs. 1,00,000 / year",30-09-2026,https://www.buddy4study.com
164,Reliance Foundation Undergraduate Scholarships - 2034,Reliance Foundation,First Year UG Students,Undergrad,"Technology,Engineering,Business","Up to Rs. 2,00,000",15-10-2026,https://www.reliancefoundation.org
165,Tata Scholarship at Cornell University - 2034,Tata Trusts,Undergraduate Admissions at Cornell,Undergrad (Study Abroad),"Technology,Engineering,Business",Full Tuition Support,15-03-2027,https://admissions.cornell.edu
166,Aditya Birla Capital Scholarship - 2034,Aditya Birla Capital Foundation,Class 9 to Undergrad,Class 9 to Undergrad,Social Impact,"Up to Rs. 60,000",30-09-2026,https://www.adityabirlacapital.com
167,L'Oréal India For Young Women In Science Scholarship - 2034,L'Oréal India,Class 12 Girls (Science),Class 12 (Girls),"Science,Research","Rs. 2,50,000 for graduation",15-10-2026,https://www.foryoungwomeninscience.co.in
168,Dr. Ambedkar Post Matric Scholarship for EBC Students - 2034,Ministry of Social Justice,EBC Postgraduate/Undergrad,Undergrad/Postgrad,"Government Jobs,Social Impact",Maintenance allowance and fees reimbursed,30-11-2026,https://scholarships.gov.in
169,Sitaram Jindal Foundation Scholarship - 2034,Sitaram Jindal Foundation,"Class 11 to Postgrad, ITI, Diploma",Class 11 to Postgrad,Social Impact,"Up to Rs. 3,200 / month",31-12-2026,https://sitaramjindalfoundation.org
170,INSPIRE Scholarship (SHE) - 2034,"DST, Govt of India",Class 12 Top 1% students in Board,B.Sc/Int. M.Sc,"Research,Science","Rs. 80,000 / year",31-12-2026,https://online-inspire.gov.in
171,AICTE Pragati Scholarship for Girl Students - 2034,AICTE,First Year Degree/Diploma Girls,B.Tech/Diploma,"Engineering,Technology","Rs. 50,000 / year",30-11-2026,https://www.aicte-india.org
172,Adobe India Women in Technology Scholarship - 2034,Adobe India,Undergraduate CSE/ECE Girls,B.Tech/BE (CSE/ECE),"Technology,AI/ML",Tuition fees + Intern interview,15-11-2026,https://www.adobe.com
173,K.C. Mahindra Scholarships for Post-Graduate Studies Abroad - 2034,K.C. Mahindra Education Trust,Graduates pursuing PG Abroad,Postgrad (Study Abroad),"Engineering,Business,Science","Up to Rs. 8,00,000 interest-free loan",31-03-2027,https://www.kcmet.org
174,LIC Golden Jubilee Scholarship - 2034,LIC of India,Class 12 / Diploma (EWS),Undergrad/Diploma,Social Impact,"Rs. 20,000 / year",24-12-2026,https://licindia.in
175,Prime Minister's Scholarship Scheme (PMSS) - 2034,Ministry of Defence,Wards of Ex-servicemen UG/PG,Undergrad/Postgrad,"Defence,Government Jobs","Up to Rs. 3,000 / month",30-11-2026,https://desw.gov.in
176,Olay Scholarship for Women in STEM - 2034,Olay India / Buddy4Study,Girls enrolled in STEM Degrees,Undergrad (STEM),"Science,Technology,Engineering","Rs. 1,00,000",15-12-2026,https://www.buddy4study.com
177,British Council Great Scholarships - 2034,British Council,Undergraduates going to UK,Postgrad (Study Abroad),All Branches,"GBP 10,000 tuition fee waiver",30-04-2027,https://study-uk.britishcouncil.org
178,DAAD Scholarships for PG Studies in Germany - 2034,DAAD Germany,Bachelor Graduates in India,Postgrad (Study Abroad),"Science,Engineering",Full stipend + health insurance,15-10-2026,https://www.daad.in
179,Fulbright-Nehru Master's Fellowships - 2034,USIEF,Bachelor Graduates with 3y work exp,Postgrad (Study Abroad),All Branches,"J-1 visa support, tuition, health insurance",15-05-2026,https://www.usief.org.in
180,Fair & Lovely Career Foundation Scholarship - 2034,Hindustan Unilever,Class 12 / College Girls,Class 12 to Postgrad,Social Impact,"Up to Rs. 50,000",30-10-2026,https://www.buddy4study.com
181,NSP (National Scholarship Portal) Central Sector Scheme - 2035,Government of India,Class 12 / College Students,Class 12 / Undergrad,"Government Jobs,Social Impact","Up to Rs. 20,000 / year",31-10-2026,https://scholarships.gov.in
182,KVPY (Kishore Vaigyanik Protsahan Yojana) - 2035,"DST, Govt of India","Class 11, Class 12, B.Sc 1st Year",Class 11/12/B.Sc,"Research,Science","Up to Rs. 7,000 / month + Contingency",30-10-2026,http://www.kvpy.iisc.ernet.in
183,HDFC Bank Badhte Kadam Scholarship - 2035,HDFC Bank,Class 11 to Undergrad,Class 11 to Undergrad,Social Impact,"Up to Rs. 1,00,000 / year",30-09-2026,https://www.buddy4study.com
184,Reliance Foundation Undergraduate Scholarships - 2035,Reliance Foundation,First Year UG Students,Undergrad,"Technology,Engineering,Business","Up to Rs. 2,00,000",15-10-2026,https://www.reliancefoundation.org
185,Tata Scholarship at Cornell University - 2035,Tata Trusts,Undergraduate Admissions at Cornell,Undergrad (Study Abroad),"Technology,Engineering,Business",Full Tuition Support,15-03-2027,https://admissions.cornell.edu
186,Aditya Birla Capital Scholarship - 2035,Aditya Birla Capital Foundation,Class 9 to Undergrad,Class 9 to Undergrad,Social Impact,"Up to Rs. 60,000",30-09-2026,https://www.adityabirlacapital.com
187,L'Oréal India For Young Women In Science Scholarship - 2035,L'Oréal India,Class 12 Girls (Science),Class 12 (Girls),"Science,Research","Rs. 2,50,000 for graduation",15-10-2026,https://www.foryoungwomeninscience.co.in
188,Dr. Ambedkar Post Matric Scholarship for EBC Students - 2035,Ministry of Social Justice,EBC Postgraduate/Undergrad,Undergrad/Postgrad,"Government Jobs,Social Impact",Maintenance allowance and fees reimbursed,30-11-2026,https://scholarships.gov.in
189,Sitaram Jindal Foundation Scholarship - 2035,Sitaram Jindal Foundation,"Class 11 to Postgrad, ITI, Diploma",Class 11 to Postgrad,Social Impact,"Up to Rs. 3,200 / month",31-12-2026,https://sitaramjindalfoundation.org
190,INSPIRE Scholarship (SHE) - 2035,"DST, Govt of India",Class 12 Top 1% students in Board,B.Sc/Int. M.Sc,"Research,Science","Rs. 80,000 / year",31-12-2026,https://online-inspire.gov.in
191,AICTE Pragati Scholarship for Girl Students - 2035,AICTE,First Year Degree/Diploma Girls,B.Tech/Diploma,"Engineering,Technology","Rs. 50,000 / year",30-11-2026,https://www.aicte-india.org
192,Adobe India Women in Technology Scholarship - 2035,Adobe India,Undergraduate CSE/ECE Girls,B.Tech/BE (CSE/ECE),"Technology,AI/ML",Tuition fees + Intern interview,15-11-2026,https://www.adobe.com
193,K.C. Mahindra Scholarships for Post-Graduate Studies Abroad - 2035,K.C. Mahindra Education Trust,Graduates pursuing PG Abroad,Postgrad (Study Abroad),"Engineering,Business,Science","Up to Rs. 8,00,000 interest-free loan",31-03-2027,https://www.kcmet.org
194,LIC Golden Jubilee Scholarship - 2035,LIC of India,Class 12 / Diploma (EWS),Undergrad/Diploma,Social Impact,"Rs. 20,000 / year",24-12-2026,https://licindia.in
195,Prime Minister's Scholarship Scheme (PMSS) - 2035,Ministry of Defence,Wards of Ex-servicemen UG/PG,Undergrad/Postgrad,"Defence,Government Jobs","Up to Rs. 3,000 / month",30-11-2026,https://desw.gov.in
196,Olay Scholarship for Women in STEM - 2035,Olay India / Buddy4Study,Girls enrolled in STEM Degrees,Undergrad (STEM),"Science,Technology,Engineering","Rs. 1,00,000",15-12-2026,https://www.buddy4study.com
197,British Council Great Scholarships - 2035,British Council,Undergraduates going to UK,Postgrad (Study Abroad),All Branches,"GBP 10,000 tuition fee waiver",30-04-2027,https://study-uk.britishcouncil.org
198,DAAD Scholarships for PG Studies in Germany - 2035,DAAD Germany,Bachelor Graduates in India,Postgrad (Study Abroad),"Science,Engineering",Full stipend + health insurance,15-10-2026,https://www.daad.in
199,Fulbright-Nehru Master's Fellowships - 2035,USIEF,Bachelor Graduates with 3y work exp,Postgrad (Study Abroad),All Branches,"J-1 visa support, tuition, health insurance",15-05-2026,https://www.usief.org.in
200,Fair & Lovely Career Foundation Scholarship - 2035,Hindustan Unilever,Class 12 / College Girls,Class 12 to Postgrad,Social Impact,"Up to Rs. 50,000",30-10-2026,https://www.buddy4study.com
